indroea;lugar;comentario;serv;suprest;suprcnc;hoja_id;alti;altimax;naa;naam;naai;num_cuenca;muni_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;observ1;observ2;observ3;observ4;observ5;xetrs89;yetrs89;cod_saih
3175;ARANJUEZ (P.LARGO)                 ;INT 2009                                                              ;0;11549;11597;605;491;2430;42;41;33;3148;28013;448220;4437480;448220;4437480;-33626;400507;-33631;400503;;;;;;448110;4437272;
3176;CHINA, LA                          ;INT 1986                                                              ;0;899;1242;559;564;2383;22;22;1;3123;28079;442045;4468445;442045;4468445;-34057;402150;-34102;402146;;;;;;441935;4468237;
3177;VACIAMADRID                        ;;1;1240;1242;582;535;2383;56;56;24;3127;28123;452973;4464056;452973;4464056;-33313;401930;-33317;401926;;;;;;452863;4463848;
3178;C.E.H.                             ;INT 1973                                                              ;0;812;1242;559;582;2383;8;8;1;3123;28079;438840;4474175;438840;4474175;-34315;402455;-34319;402451;;;;;;438731;4473968;
3179;NAVALCARNERO                       ;INT 1982                                                              ;0;798;1703;581;559;2181;17;17;7;3170;28092;420110;4461615;420110;4461615;-35624;401762;-35628;401758;;;;;;420001;4461408;
3180;SAN MARTIN DE VALDEIGLESIAS        ;;1;629;638;557;580;1902;32;32;3;3219;5057;387901;4474460;387901;4474460;-41916;402445;-41921;402441;;;;;;387792;4474253;AR22
3181;VALDEMORILLO                       ;INT 1971                                                              ;0;96;157;533;885;1754;5;5;2;3167;28044;411120;4488175;411120;4488175;-40258;403220;-40303;403216;;;;;;411011;4487968;
3182;GARCIBUEY                          ;;1;426;5385;527;520;1433;52;52;25;3330;37298;250434;4487864;250434;4487864;-55642;403012;-55647;403006;DATOS MODIFICADOS DE 08/1979 Y 03/1986 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                      ;;;;;250325;4487657;
3183;ESCALONA                           ;INT 2013                                                              ;0;3102;4104;580;419;2198;42;42;22;3230;45061;380794;4447221;380794;4447221;-42359;400958;-42404;400954;;;;;;380684;4447013;
3184;BAZAGONA, LA                       ;;1;4090;4507;623;230;2592;51;51;28;3294;10116;251896;4424564;251896;4424564;-55412;395603;-55417;395559;DATOS MODIFICADOS DE 10/1979 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                                ;;;;;251787;4424358;
3185;SANTIBAÑEZ EL BAJO                 ;;1;47;157;574;426;1010;49;49;28;3351;10167;728307;4455664;217730;4457490;-61901;401311;-61906;401306;DATOS MODIFICADOS DE 08/1987 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                                ;;;;;217621;4457284;
3186;PRIEGO-TRABAQUE                    ;;1;361;409;563;798;1618;52;52;34;3042;16170;557263;4475312;557263;4475312;-21930;402533;-21935;402529;DATOS MODIFICADOS DE 10/1970 Y 01/1977 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                      ;;;;;557154;4475104;
3187;PARDO, EL                          ;INT 1999                                                              ;0;537;1242;534;605;2383;25;24;11;3121;28079;433360;4486340;433360;4486340;-34712;403128;-34717;403124;;;;;;433251;4486133;
3188;ALDEA DEL FRESNO                   ;;1;2577;4104;580;455;;12;12;0;3226;28008;396525;4462836;396525;4462836;-41304;401832;-41308;401828;;;;;;396415;4462629;
3189;NAVACERRADA                        ;INT 1980                                                              ;0;21;93;508;1120;2262;22;22;0;3118;28018;415365;4507525;415365;4507525;-40007;404249;-40012;404245;;;;;;415256;4507318;
3190;JAROSA, LA                         ;INT 1980                                                              ;0;18;24;508;1059;1824;22;22;0;3993;28068;405280;4502590;405280;4502590;-40714;404005;-40719;404001;;;;;;405171;4502383;
3191;NAVALMEDIO                         ;INT 1980                                                              ;0;8;9;508;1260;2181;21;21;0;3994;28038;412455;4511660;412455;4511660;-40213;404462;-40218;404458;;;;;;412346;4511453;
3193;TOROTE                             ;;1;252;253;560;579;940;41;41;16;3110;28005;464489;4480141;464489;4480141;-32508;402814;-32513;402810;DATOS MODIFICADOS DE 10 Y 12/2004 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                           ;;;;;464380;4479933;
3194;PICOTEJO, EL                       ;;1;366;1703;533;619;2181;31;31;6;3166;28127;420732;4482980;420732;4482980;-35607;402935;-35612;402931;;;;;;420623;4482773;AR19
3195;VILLAR, EL                         ;INT 1980                                                              ;0;725;983;484;900;2430;23;23;0;3073;28902;452605;4533250;452605;4533250;-33347;405654;-33352;405650;;;;;;452496;4533042;
3196;PINILLA                            ;INT 1980                                                              ;0;246;983;484;1062;2430;20;20;0;3071;28076;434830;4533015;434830;4533015;-34627;405642;-34632;405638;;;;;;434721;4532808;
3197;CANTOS BLANCOS                     ;INT 2010                                                              ;0;53;340;683;720;1369;40;39;18;3194;45075;366623;4388334;366623;4388334;-43315;393801;-43320;393757;;;;;;366513;4388127;
3198;VILLAMANTILLA                      ;;1;261;532;558;497;1461;50;50;24;3221;28095;403611;4469632;403611;4469632;-40807;402216;-40812;402211;;;;;;403501;4469425;
3199;NAVALCAN                           ;INT 1975                                                              ;0;357;397;601;351;1321;8;8;3;3275;45110;317255;4435455;317255;4435455;-50832;400256;-50836;400252;;;;;;317145;4435248;
3200;SOTOSERRANO                        ;;1;239;239;552;405;2425;53;53;32;3335;37313;753424;4479366;244400;4479440;-60046;402532;-60051;402528;;;;;;244291;4479233;
3201;MOLINO DE CHINCHA                  ;INT 1980                                                              ;0;354;3470;539;921;1798;22;22;0;3032;16053;571590;4487345;571590;4487345;-20917;403159;-20921;403155;;;;;;571481;4487136;
3203;AZUTAN                             ;INT 1980                                                              ;0;35069;71364;654;320;2430;17;17;0;3249;45017;321190;4405005;321190;4405005;-50516;394632;-50520;394628;;;;;;321080;4404798;
3210;ARGES                              ;INT 1977                                                              ;0;382;423;657;555;1371;9;9;2;3164;45016;406150;4407840;406150;4407840;-40547;394853;-40552;394849;;;;;;406040;4407633;
3211;VILLAREJO DE MONTALBAN             ;;1;140;340;655;509;1369;51;51;29;3194;45194;365900;4403721;365900;4403721;-43357;394620;-43401;394616;DATOS MODIFICADOS DE 03/1974 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                                ;;;;;365790;4403514;
3212;MALPICA                            ;;1;423;424;627;388;1419;48;48;21;3200;45089;364915;4420110;364915;4420110;-43450;395511;-43455;395506;DATOS MODIFICADOS DE 07/1979 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                                ;;;;;364805;4419903;
3213;ALCAUDETE DE LA JARA               ;;1;196;313;655;425;1378;49;49;31;3240;45006;341920;4404300;341920;4404300;-45045;394624;-45049;394620;DATOS MODIFICADOS DE 03/1973 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                                ;;;;;341810;4404093;
3217;HORCAJO DE MONTEMAYOR              ;;1;177;211;552;717;1524;50;50;24;3331;37161;254621;4479296;254621;4479296;-55333;402539;-55338;402534;;;;;;254512;4479089;
