indroea;lugar;comentario;serv;suprest;suprcnc;hoja_id;alti;altimax;naa;naam;naai;num_cuenca;muni_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;observ1;observ2;observ3;observ4;observ5;xetrs89;yetrs89;cod_saih
5121;PRESA DE EL JUDIO                  ;INT 1996                                                              ;0;8098;8415;942;70;3478;26;26;0;5306;14049;305361;4171783;305361;4171783;-51225;374019;-51230;374015;;;;;;305250;4171578;
5123;MADREFUENTES                       ;;1;370;388;964;62;307;35;35;3;5308;14049;292345;4171136;292345;4171136;-52115;373948;-52120;373943;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;292234;4170931;A52
5124;LORA DEL RIO                       ;INT 1989                                                              ;0;41305;54970;963;30;;4;4;0;5313;41055;277584;4169555;277584;4169555;-53115;373844;-53120;373840;;;;;;277473;4169350;
5125;CARMONA N-IV                       ;;1;1377;1502;985;53;1022;43;42;2;5326;41024;272407;4151467;272407;4151467;-53426;372853;-53431;372849;MAXIMOS DE 2000-01 A 2004-05 PENDIENTES DE REVISION                                                 ;;;;;272296;4151262;A18
5126;GALAPAGAR                          ;INT 2016                                                              ;0;70;79;963;28;;26;26;3;5328;41099;262676;4169284;262676;4169284;-54123;373822;-54127;373817;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;262565;4169079;
5127;HUESNA                             ;;1;678;682;963;22;;45;45;4;5336;41099;258615;4170249;258615;4170249;-54409;373849;-54414;373845;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;258504;4170044;A49
5128;PARROSO                            ;;1;128;129;963;19;;32;32;3;5335;41099;257978;4169908;257978;4169908;-54435;373838;-54440;373833;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;257867;4169703;
5130;MELONARES, LOS                     ;INT 1996                                                              ;0;1700;1799;940;42;;20;20;0;5350;41073;246166;4178359;246166;4178359;-55247;374300;-55252;374256;;;;;;246055;4178154;
5132;PUENTE SIFON                       ;;1;1239;1330;984;16;;37;37;3;5388;41004;242903;4139105;242903;4139105;-55410;372145;-55415;372140;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;242792;4138901;
5133;DEHESAS DE GUADIX                  ;;1;403;474;971;665;;19;19;0;5045;18064;489734;4160993;489734;4160993;-30659;373543;-30703;373539;DATOS DE 2010-11 PENDIENTES DE REVISION                                                             ;;;;;489623;4160787;A03
5134;CERRADA DEL UTRERO                 ;;1;65;54970;928;815;1937;32;32;4;5001;23028;506415;4198346;506415;4198346;-25537;375555;-25542;375551;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;506304;4198139;
5135;MOGON                              ;;1;109;110;907;437;1830;23;23;2;5004;23095;498379;4214276;498379;4214276;-30107;380432;-30111;380428;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION.DATOS 2016-17 EN REVISION                       ;;;;;498268;4214069;A44
5136;SANTO TOME                         ;;1;185;189;907;418;1270;29;29;4;5008;23080;490914;4208710;490914;4208710;-30613;380132;-30617;380127;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION.DATOS 2016-17 EN REVISION                       ;;;;;490803;4208503;
5137;CAMBIL                             ;;1;66;146;947;741;2167;31;31;4;5091;23018;450188;4169832;450188;4169832;-33353;374025;-33358;374021;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;450076;4169626;
5138;PUERTOLLANO                        ;;1;228;338;836;644;1094;29;29;5;5109;13071;411442;4279671;411442;4279671;-40104;383938;-40109;383934;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;411331;4279464;A29
5140;VILLANUEVA DE LAS TORRES           ;;1;1685;1718;971;658;;52;55;4;5043;18064;490808;4154409;490808;4154409;-30615;373210;-30619;373205;MAXIMOS DE 2000-01 A 2004-05 Y DATOS DE 2010-11 Y 2016-17 PENDIENTES DE REVISION                    ;;;;;490697;4154202;A02
5141;MONTORO                            ;INT 2006                                                              ;0;407;408;903;156;823;20;20;2;5148;14043;374733;4211493;374733;4211493;-42539;380231;-42543;380226;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;374621;4211287;
5142;PORCUNA                            ;;1;670;810;924;229;;37;37;3;5140;23069;393330;4192940;393330;4192940;-41246;375238;-41251;375233;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION. DATOS 2016-17 EN REVISION                      ;;;;;393218;4192734;A11
5144;CASARICHE                          ;;1;164;301;1006;283;;34;34;3;5293;41026;343928;4129273;343928;4129273;-44539;371747;-44543;371743;MAXIMOS DE 2000-01 A 2004-05 Y DATOS DE 2010-11 Y 2016-17 PENDIENTES DE REVISION                    ;;;;;343816;4129068;A30
5145;PEDROSO, EL                        ;;1;297;682;920;291;;33;33;5;5332;41073;259654;4193270;259654;4193270;-54354;375117;-54359;375112;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION. DATOS 2016-17 EN REVISION                      ;;;;;259543;4193065;A12
