indroea,lugar,comentario,serv,suprest,suprcnc,hoja_id,alti,altimax,naa,naam,naai,num_cuenca,muni_id,xutm,yutm,xutm30,yutm30,long,lat,longwgs84,latwgs84,observ1,xetrs89,yetrs89,cod_saih,demarcacion
1219,SAN LORENZO                        ,,1,248,620,58,178.0,,2,2,0,1090,39078,426472,4782427,426472,4782427,-35417,431125,-35422,431121,,426365,4782221,A086,CANTABRICO
1237,TORRELAVEGA                        ,,1,463,482,34,16.0,1396.0,26,26,0,1111,39087,413883,4800738,413883,4800738,-40345,432114,-40350,432110,,413776,4800532,N038,CANTABRICO
1240,SAJA EN TORRELAVEGA                ,,1,981,1006,34,12.0,,4,4,0,1112,39087,415161,4802166,415161,4802166,-40249,432200,-40254,432156,,415054,4801960,,CANTABRICO
1242,AZUD DE SNIACE                     ,,1,485,1006,34,22.0,,6,6,0,1098,39087,412908,4801420,412908,4801420,-40429,432135,-40434,432131,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H                                  ",412801,4801214,E055,CANTABRICO
1244,ARENAS DE IGUÑA                    ,,1,307,482,58,158.0,,6,6,0,1109,39004,413973,4784420,413973,4784420,-40332,431225,-40337,431221,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H                                  ",413866,4784214,Q119,CANTABRICO
1252,PUENTE PUMAR                       ,,1,80,424,82,,,5,5,0,1114,39053,385796,4774558,385796,4774558,-42413,430652,-42418,430648,,385689,4774352,A252,CANTABRICO
1262,ROIZ (LAS CUEVAS)                  ,,1,55,80,57,40.0,,9,9,0,1918,39091,390578,4798427,390578,4798427,-42059,431948,-42104,431944,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H                                  ",390471,4798222,N078,CANTABRICO
1264,OJEDO                              ,,1,157,157,81,269.0,2011.0,27,27,11,1125,39022,369085,4780236,369085,4780236,-43637,430946,-43642,430942,,368978,4780031,A702,CANTABRICO
1265,OJEDO                              ,,1,290,1184,81,282.0,2538.0,27,27,11,1124,39022,369031,4780236,369031,4780236,-43640,430946,-43645,430942,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H                               ",368924,4780031,A703,CANTABRICO
1266,URDON                              ,INT 1962                                                              ,0,40,41,56,150.0,2286.0,17,17,1,1127,39049,367678,4791963,367678,4791963,-43750,431605,-43755,431601,,367571,4791758,A704,CANTABRICO
