ref_ceh,nom_embalse,serv,comentario,muni_id,hoja_id,xutm,yutm,xutm30,yutm30,long,lat,longwgs84,latwgs84,mna,mnne,num_cuenca,nae,naem,xetrs89,yetrs89,cod_saih,demarcacion
2005,ALDEADAVILA,1,LAS RESERVAS ANTERIORES A 1995/96 SE REFIEREN AL VOLUMEN UTIL                                                           ,37014,422,694098,4565078,191059,4569043,-64105,411247,-64110,411243,0.0,327.8,2343,59,58,190949,4568836,,DUERO
2010,UZQUIZA,1,,9463,239,469730,4683952,469730,4683952,-32202,421823,-32207,421819,1102.0,1100.0,2170,33,33,469623,4683744,,DUERO
2011,ARLANZON,1,,9463,239,472108,4679345,472108,4679345,-32017,421554,-32022,421550,0.0,1143.0,2170,63,77,472001,4679137,,DUERO
2012,CERVERA DE RUESGA,1,LOS DATOS DE 2007-08 SON PROVISIONALES SUJETOS A REVISION                                                               ,34056,106,375312,4747228,375312,4747228,-43135,425200,-43140,425156,0.0,1041.6,2129,63,77,375204,4747022,,DUERO
2013,"REQUEJADA, LA",1,,34056,106,375196,4751786,375196,4751786,-43144,425431,-43148,425424,0.0,1082.5,2126,63,63,375088,4751580,,DUERO
2014,CAMPORREDONDO,1,LOS DATOS DE 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                               ,34199,106,358239,4751323,358239,4751323,-44411,425405,-44415,425358,0.0,1290.7,2195,63,77,358131,4751117,,DUERO
2015,COMPUERTO,1,LOS DATOS DE 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                               ,34199,106,350836,4747192,350836,4747192,-44933,425143,-44938,425139,0.0,1221.5,2195,61,61,350728,4746986,,DUERO
2016,AGUILAR DE CAMPOO,1,LOS DATOS DE 2003-04 A 2006-07 SON PROVISIONALES SUJETOS A REVISION                                                     ,34004,133,394802,4738985,394802,4738985,-41711,424744,-41716,424740,942.0,942.0,2130,59,59,394694,4738779,,DUERO
2026,BARRIOS DE LUNA,1,,24012,102,266127,4748317,266127,4748317,-55144,425103,-55149,425059,0.0,1108.5,2285,63,70,266018,4748112,,DUERO
2027,VILLAMECA,1,,24123,160,740086,4726166,248226,4726581,-60417,423859,-60422,423855,0.0,1008.9,2292,63,69,248116,4726375,,DUERO
2028,MONCABRIL (SISTEMA),1,LOS DATOS DE 2004-05 A 2010-11 Y 2013-14 A 2014-15 ESTAN PENDIENTES DE REVISION                                         ,49162,267,686170,4666015,190204,4670361,-64452,420727,-64456,420720,0.0,1644.0,2311,63,65,190093,4670154,,DUERO
2029,RICOBAYO,1,LAS RESERVAS ANTERIORES A 1995/96 SE REFIEREN AL VOLUMEN UTIL                                                           ,49135,368,251040,4601807,251040,4601807,-55902,413143,-55907,413138,0.0,684.0,2322,63,77,250930,4601600,,DUERO
2030,PORMA / JUAN BENET,1,,24021,104,312959,4755705,312959,4755705,-51731,425549,-51736,425545,0.0,1095.6,2265,52,52,312850,4755500,,DUERO
2031,CERNADILLA,1,LAS RESERVAS ANTERIORES A 1995/96 SE REFIEREN AL VOLUMEN UTIL. LOS DATOS DE 2007-08 SON PROVISIONALES SUJETOS A REVISION,49048,268,710515,4655299,213723,4657957,-62727,420115,-62732,420111,0.0,889.0,2313,47,47,213612,4657750,,DUERO
2032,RIAÑO,1,,24130,105,330004,4755776,330004,4755776,-50500,425606,-50505,425601,1101.7,1100.0,2262,33,33,329896,4755570,,DUERO
2033,VALPARAISO,1,LAS RESERVAS ANTERIORES A 1995/96 SE REFIEREN AL VOLUMEN UTIL                                                           ,49121,306,726144,4652833,229175,4654400,-61611,415942,-61615,415935,835.0,833.0,2313,32,32,229065,4654193,,DUERO
2034,NUESTRA SEÑORA DEL AGAVANZAL,1,,49177,307,736964,4651479,239876,4652291,-60823,415847,-60827,415840,0.0,785.0,2315,26,27,239766,4652084,,DUERO
2036,LINARES DEL ARROYO,1,,40115,375,453742,4597654,453742,4597654,-33316,413142,-33321,413138,0.0,915.3,2098,63,70,453634,4597447,,DUERO
2037,BURGOMILLODO,1,"LOS DATOS DE 2004-05, 2005-06 Y 2007-08 SON PROVISIONALES SUJETOS A REVISION                                            ",40044,402,426031,4576794,426031,4576794,-35302,412019,-35307,412015,0.0,874.2,2110,63,77,425922,4576587,,DUERO
2038,SANTA TERESA,1,LOS DATOS DE 2004-05 Y 2008-09 ESTAN PENDIENTES DE REVISION                                                             ,37200,528,280195,4505239,280195,4505239,-53601,404005,-53606,404001,0.0,885.7,2330,63,67,280086,4505032,,DUERO
2039,AGUEDA,1,,37378,526,713395,4489808,205191,4492580,-62850,403154,-62854,403147,0.0,636.5,2370,63,77,205082,4492373,,DUERO
2040,"VENCIAS, LAS",1,LOS DATOS DE 2004-05 A 2007-08 Y 2010-11 SON PROVISIONALES SUJETOS A REVISION                                           ,40092,402,419506,4586986,419506,4586986,-35748,412547,-35753,412543,0.0,823.4,2110,52,52,419397,4586779,,DUERO
2041,ALMENDRA,1,LAS RESERVAS ANTERIORES A 1995/96 SE REFIEREN AL VOLUMEN UTIL                                                           ,37028,423,724716,4572693,222146,4574530,-61902,411625,-61907,411621,0.0,730.0,2340,47,47,222036,4574323,,DUERO
2042,CASTRO DE LAS COGOTAS,1,LOS DATOS DE 2005-06 A 2006-07 SON PROVISIONALES SUJETOS A REVISION                                                     ,5049,506,356734,4509874,356734,4509874,-44147,404336,-44152,404332,0.0,1050.5,2214,26,27,356625,4509667,,DUERO
2043,PONTON ALTO,1,LOS DATOS DE 2008-09 ESTAN PENDIENTES DE REVISION                                                                       ,40181,483,412811,4530024,412811,4530024,-40207,405500,-40212,405453,1103.5,1102.0,2217,26,27,412702,4529817,,DUERO
2047,IRUEÑA,1,,37136,550,705520,4480264,196652,4483590,-63436,402649,-63441,402645,772.0,772.5,2364,7,7,196543,4483383,,DUERO
2125,CASARES DE ARBAS,1,LOS DATOS DE 2011-12 ESTAN PENDIENTES DE REVISION                                                                       ,24901,103,274945,4756665,274945,4756665,-54528,425543,-54533,425539,,1297.6,2274,12,12,274836,4756460,,DUERO
9801,EBRO,1,LOS DATOS DE 2001-02 A 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                     ,39065,108,414345,4758211,414345,4758211,-40301,425815,-40306,425811,839.0,839.0,9007,63,74,414238,4758005,E001,EBRO
9802,FLIX,1,LOS DATOS DE 2006-07 Y 2007-08 ESTAN PENDIENTES DE REVISION                                                             ,43060,444,294734,4567758,797607,4570948,3303,411404,3259,411360,42.6,41.1,9648,59,69,797499,4570738,E002,EBRO
9803,MEQUINENZA,1,"LOS DATOS DE 2001-02 A 2005-06, 2007-08, 2009-10 Y 2012-13 SON PROVISIONALES SUJETOS A REVISION                         ",50095,415,272160,4583509,773989,4585108,1633,412213,1628,412281,121.0,121.0,9378,57,57,773881,4584898,E003,EBRO
9804,RIBARROJA,1,"LOS DATOS DE 2001-02 A 2003-04. 2005-06 2007-08, 2009-10, 2010-11 Y 2012-13 SON PROVISIONALES SUJETOS A REVISION        ",43125,443,284934,4569150,787729,4571661,2601,411440,2556,411436,0.0,70.0,9648,53,53,787621,4571451,E004,EBRO
9805,SOBRON,1,LOS DATOS DE 2001-02 A 2007-08 SON PROVISIONALES SUJETOS A REVISION                                                     ,9054,137,491897,4735189,491897,4735189,-30557,424606,-30602,424602,511.5,511.0,9045,25,26,491790,4734982,E005,EBRO
9806,PAJARES,1,"LOS DATOS DE 2002-03, 2004-05, 2006-07, 2007-08, 2009-10 Y 2010-11 SON PROVISIONALES SUJETOS A REVISION                 ",26091,279,532454,4659939,532454,4659939,-23627,420524,-23632,420520,1230.9,1228.0,9131,26,27,532346,4659731,E006,EBRO
9807,MONTEAGUDO DE LAS VICARIAS,1,LOS DATOS DE 2003-04 Y 2009-10 SON PROVISIONALES SUJETOS A REVISION                                                     ,42119,408,568778,4581535,568778,4581535,-21039,412254,-21044,412250,0.0,820.9,9259,36,37,568669,4581326,E007,EBRO
9808,MAIDEVERA,1,,50031,381,603457,4603432,603457,4603432,-14533,413431,-14537,413426,0.0,799.0,9283,36,37,603349,4603223,E008,EBRO
9809,MANSILLA,1,"LOS DATOS DE 2005-06, 2007-08 Y 2012-13 SON PROVISIONALES SUJETOS A REVISION                                            ",26093,278,507421,4667540,507421,4667540,-25437,420933,-25441,420929,932.0,930.0,9106,61,62,507313,4667332,E009,EBRO
9810,VALBORNEDO,0,INT 1963                                                                                                                ,26105,203,535437,4696319,535437,4696319,-23409,422503,-23414,422459,564.4,564.1,9996,6,19,535330,4696111,,EBRO
9811,GONZALEZ LACASA,1,"LOS DATOS DE 2003-04, 2005-06, 2007-08 A 2009-10 Y 2012-13 SON PROVISIONALES SUJETOS A REVISION                         ",26112,241,527074,4669289,527074,4669289,-24020,421028,-24025,421024,996.0,995.5,9133,63,73,526966,4669081,E011,EBRO
9812,"TRANQUERA, LA",1,,50072,437,600847,4568832,600847,4568832,-14746,411550,-14751,411546,689.3,685.5,9271,57,57,600738,4568623,E012,EBRO
9813,MEZALOCHA,1,,50167,411,660780,4587819,660780,4587819,-10434,412530,-10438,412526,0.0,472.5,9290,29,29,660672,4587610,E013,EBRO
9814,"TORCAS, LAS",1,LOS DATOS DE 2006-07 SON PROVISIONALES SUJETOS A REVISION                                                               ,50264,439,339736,4573426,660264,4573426,10509,411744,10505,411740,728.4,624.3,9290,63,63,660155,4573217,E014,EBRO
9815,MONEVA,1,"LOS DATOS DE 2001-02, 2002-03, 2006-07 Y 2010-11 SON PROVISIONALES SUJETOS A REVISION                                   ",50233,440,681998,4561107,681998,4561107,-4949,411049,-4953,411044,616.7,614.7,9332,63,63,681889,4560898,E015,EBRO
9816,ALMOCHUEL,1,INT 2003                                                                                                                ,50021,440,704415,4574278,704415,4574278,-3332,411736,-3336,411732,471.6,471.6,9336,42,44,704306,4574068,,EBRO
9817,CUEVA FORADADA,1,,44172,493,694098,4539720,694098,4539720,-4134,405906,-4139,405901,579.9,579.3,9352,63,63,693989,4539511,E017,EBRO
9818,SANTOLEA,1,,44071,519,726523,4517161,726523,4517162,-1858,404625,-1902,404621,0.0,583.4,9366,63,63,726414,4516952,E018,EBRO
9819,ESTANCA DE ALCAÑIZ,1,LOS DATOS DE 2006-07 Y 2007-08 SON PROVISIONALES SUJETOS A REVISION                                                     ,44013,469,736858,4549718,736858,4549718,-1052,410349,-1057,410345,342.0,342.0,9377,63,77,736749,4549508,E019,EBRO
9820,GALLIPUEN,1,,44040,494,718072,4528319,718072,4528319,-2444,405234,-2448,405230,695.5,694.5,9372,46,48,717963,4528110,E020,EBRO
9821,PENA,1,"LOS DATOS DE 2002-03, 2006-07 Y 2008-09 ESTAN PENDIENTES DE REVISION                                                    ",44246,520,258413,4522874,764445,4523657,808,404914,803,404910,619.0,617.0,9636,63,63,764336,4523447,E021,EBRO
9822,CALANDA,1,LOS DATOS DE 2012-13 SON PROVISIONALES SUJETOS A REVISION                                                               ,44052,494,734975,4533479,734975,4533479,-1235,405505,-1240,405501,443.0,440.0,9371,39,39,734866,4533269,E022,EBRO
9823,CASPE II,1,,50074,469,1256080,4593264,752093,4558359,12,410812,8,410808,232.5,230.0,9377,33,34,751984,4558149,E023,EBRO
9824,SAN BARTOLOME,1,,50095,246,652522,4675186,652522,4675186,-10908,421248,-10913,421244,0.0,417.0,9248,8,10,652414,4674976,E024,EBRO
9825,EUGUI,1,LOS DATOS DE 2006-07 SON PROVISIONALES SUJETOS A REVISION                                                               ,31098,116,621304,4758968,621304,4758969,-13045,425823,-13050,425819,629.0,628.0,9211,42,42,621198,4758759,E025,EBRO
9826,ALBIÑA,1,,1058,112,530283,4760299,530283,4760299,-23743,425938,-23747,425934,608.3,608.3,9061,10,11,530177,4760091,,EBRO
9827,ULLIVARRI,1,"LOS DATOS DE 2001-02 A 2007-08, 2010-11 Y 2012-13 SON PROVISIONALES SUJETOS A REVISION                                  ",1008,112,531398,4753098,531398,4753098,-23655,425545,-23660,425541,546.5,546.5,9058,61,61,531292,4752890,E027,EBRO
9828,URRUNAGA,1,"LOS DATOS DE 2001-02 A 2007-08, 2010-11 Y 2012-13 SON PROVISIONALES SUJETOS A REVISION                                  ",1058,112,528237,4756387,528237,4756387,-23914,425732,-23918,425728,546.5,546.5,9063,61,61,528131,4756179,E028,EBRO
9829,YESA,1,LOS DATOS DE 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                               ,31261,175,649104,4719976,649104,4719976,-11055,423701,-11100,423657,0.0,488.6,9188,62,62,648997,4719766,E029,EBRO
9830,ALLOZ,1,"LOS DATOS DE 2001-02, 2003-04 Y 2004-05 Y 2009-10 SON PROVISIONALES SUJETOS A REVISION                                  ",31260,140,586723,4728958,586723,4728958,-15628,424227,-15633,424223,,468.7,9230,63,77,586616,4728749,E030,EBRO
9831,IRABIA,1,LOS DATOS DE 2006-07 A 2010-11 Y 2012-13 ESTAN PENDIENTES DE REVISION                                                   ,31195,117,650316,4761014,650316,4761014,-10923,425910,-10927,425906,819.9,811.5,9193,48,57,650210,4760804,E031,EBRO
9832,ESCARRA (SISTEMA),0,INT 1993                                                                                                                ,22204,145,716754,4736209,716754,4736209,-2106,424449,-2111,424445,0.0,0.0,9295,35,35,716647,4735999,,EBRO
9833,AGUAS LIMPIAS (SISTEMA),0,INT 1993                                                                                                                ,22204,145,718729,4741000,718729,4741000,-1933,424722,-1938,424718,0.0,0.0,9293,35,35,718622,4740790,,EBRO
9834,ALTO CALDARES (SISTEMA),0,INT 1993                                                                                                                ,22170,145,726043,4737604,726043,4737604,-1416,424525,-1421,424521,0.0,0.0,9297,35,47,725936,4737394,,EBRO
9835,BUBAL,1,LOS DATOS DE 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                               ,22122,145,720014,4729060,720014,4729060,-1853,424054,-1858,424051,1086.5,1085.0,9302,51,51,719907,4728850,E035,EBRO
9836,"PEÑA, LA",1,SALTO DE RESERVA ENTRE EL 30/09/2010 Y 01/10/2010                                                                       ,22173,209,686514,4695061,686514,4695061,-4404,422305,-4408,422301,0.0,539.0,9322,58,72,686407,4694851,E036,EBRO
9837,ARDISA,1,LOS DATOS DE 2004-05 Y 2005-06 SON PROVISIONALES SUJETOS A REVISION                                                     ,50033,247,685561,4672672,685561,4672672,-4511,421100,-4516,421056,0.0,421.6,9322,59,73,685453,4672462,E037,EBRO
9838,"SOTONERA, LA",1,LOS DATOS DE 2001-02 Y 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                     ,22014,285,692571,4664203,692571,4664203,-4016,420620,-4020,420616,420.5,417.0,9325,63,77,692463,4663993,E038,EBRO
9839,"NAVAS, LAS",1,LOS DATOS DE 2003-04 SON PROVISIONALES SUJETOS A REVISION                                                               ,22149,247,694513,4683926,694513,4683926,-3828,421657,-3832,421653,648.4,647.4,9995,26,41,694406,4683716,E039,EBRO
9840,LANUZA,1,"LOS DATOS DE 2002-03, 2004-05 Y 2010-11 SON PROVISIONALES SUJETOS A REVISION                                            ",22204,145,719882,4736789,719882,4736789,-1848,424505,-1852,424501,1284.5,1283.5,9294,39,39,719775,4736579,E040,EBRO
9841,VADIELLO,1,LOS DATOS DE 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                               ,22150,248,724644,4680366,724644,4680366,-1638,421433,-1643,421429,746.0,746.0,9616,39,40,724537,4680156,E041,EBRO
9842,SANTA MARIA DE BELSUE,1,,22163,248,718752,4686962,718752,4686962,-2046,421812,-2051,421808,894.4,894.4,9620,22,24,718645,4686752,,EBRO
9843,GUIAMETS,1,"LOS DATOS DE 2007-08, 2009-10 Y 2011-12 SON PROVISIONALES SUJETOS A REVISION                                            ",43070,471,311179,4552370,815086,4556720,4506,410560,4502,410556,,184.9,9656,42,42,814977,4556510,E043,EBRO
9844,ARGUIS,1,,22037,248,712051,4686957,712051,4686957,-2539,421819,-2543,421815,0.0,960.0,9621,10,11,711944,4686747,E044,EBRO
9845,PINETA,0,INT 1993                                                                                                                ,22057,179,270663,4724283,762631,4725465,1211,423810,1206,423806,1141.8,1141.3,9540,36,46,762524,4725255,,EBRO
9846,MEDIANO,1,LOS DATOS DE 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                               ,22113,250,270210,4688532,764707,4689764,1243,421852,1238,421848,528.7,528.0,9570,51,51,764600,4689553,E046,EBRO
9847,GRADO I,1,"LOS DATOS DE 2004-05, 2007-08 Y 2009-10 SON PROVISIONALES SUJETOS A REVISION                                            ",22115,288,271574,4670457,767340,4671826,1408,420908,1403,420904,450.7,450.0,9574,55,55,767232,4671615,E047,EBRO
9848,BARASONA-JOAQUIN COSTA,1,LOS DATOS DE 2004-05 Y 2005-06 SON PROVISIONALES SUJETOS A REVISION                                                     ,22117,288,277805,4667265,773781,4669078,1843,420731,1838,420727,447.7,447.6,9597,63,77,773673,4668867,E048,EBRO
9849,PLANDESCUN,0,INT 1993                                                                                                                ,22182,179,278562,4716773,771044,4718532,1808,423415,1803,423411,1050.7,1049.6,9545,36,45,770937,4718321,,EBRO
9850,ESCALES,1,LOS DATOS DE 2001-02 A 2005-06 Y 2007-08 SON PROVISIONALES SUJETOS A REVISION                                           ,22223,251,314214,4688664,808613,4692999,4443,421938,4439,421934,821.0,821.0,9528,61,61,808505,4692788,E050,EBRO
9851,CANELLES,1,LOS DATOS DE 2001-02 A 2005-06 Y 2007-08 SON PROVISIONALES SUJETOS A REVISION                                           ,22105,327,302185,4650115,799316,4653673,3645,415839,3641,415835,506.0,506.0,9536,53,53,799208,4653462,E051,EBRO
9852,SANTA ANA,1,LOS DATOS DE 2007-08 SON PROVISIONALES SUJETOS A REVISION                                                               ,22089,327,299349,4639787,797208,4643166,3454,415302,3450,415258,378.7,378.7,9536,60,60,797100,4642955,E052,EBRO
9853,VALLE DE ARAN (SISTEMA),0,INT 1995                                                                                                                ,25025,181,1317383,4767711,825042,4726947,5748,423732,5744,423728,0.0,0.0,9664,38,39,824934,4726736,,EBRO
9854,CAPDELLA (SISTEMA),0,INT 1995                                                                                                                ,25227,181,333759,4711221,826531,4716901,5833,423205,5828,423201,0.0,0.0,9483,38,39,826423,4716690,,EBRO
9855,ESPOT (SISTEMA),0,INT 1978                                                                                                                ,25082,181,339365,4711365,832119,4717442,10238,423214,10234,423210,0.0,0.0,9465,19,19,832011,4717231,,EBRO
9856,BOREN-ESTERRI,0,INT 1995                                                                                                                ,25024,181,343462,4724343,835289,4730691,10525,423918,10520,423914,0.0,1096.0,9458,36,37,835181,4730480,,EBRO
9857,"TORRASA, LA",0,INT 1995                                                                                                                ,25082,181,347660,4715588,840102,4722247,10838,423437,10833,423433,0.0,936.0,9466,35,36,839994,4722036,,EBRO
9858,TALARN O TREMP,1,"LOS DATOS DE 2001-02 A 2007-08, 2009-10 Y 2010-11 SON PROVISIONALES SUJETOS A REVISION                                  ",25215,252,327712,4672059,823259,4677372,5450,421051,5445,421048,501.0,500.9,9490,63,77,823151,4677161,E058,EBRO
9859,TERRADETS,1,"LOS DATOS DE 2001-02 A 2007-08, 2009-10 Y 2010-11 SON PROVISIONALES SUJETOS A REVISION                                  ",25128,290,1319328,4703005,822402,4662713,5344,420259,5339,420255,0.0,372.0,9496,63,77,822294,4662502,E059,EBRO
9860,CAMARASA,1,LOS DATOS DE 2001-02 A 2010-11 ESTAN PENDIENTES DE REVISION                                                             ,25062,328,1320561,4687348,822525,4647117,5318,415434,5314,415430,336.0,336.2,9496,63,77,822417,4646906,E060,EBRO
9861,SAN LORENZO MONGAY,1,LOS DATOS DE 2009-10 ESTAN EN PENDIENTES DE REVISION                                                                    ,25062,328,320451,4635912,818545,4640773,5014,415114,5009,415111,257.0,247.2,9497,59,72,818437,4640562,E061,EBRO
9862,OLIANA,1,LOS DATOS DE 2004-05 SON PROVISIONALES SUJETOS A REVISION. EL 01/10/2011 CAMBIO DEL VOLUMEN DE EMBALSE                  ,25149,291,359010,4661628,855248,4669157,11743,420536,11738,420532,,518.3,9447,63,63,855140,4668946,E062,EBRO
9863,CAVALLERS,1,"LOS DATOS DE 2001-02 A 2005-06, 2007-08, 2009-10 Y 2012-13 SON PROVISIONALES SUJETOS A REVISION                         ",25043,181,324021,4717183,816386,4722163,5120,423510,5115,423507,1783.0,1781.0,9515,59,59,816278,4721952,E063,EBRO
9864,LINSOLES,0,INT 1993                                                                                                                ,22200,180,293534,4717830,785910,4720647,2902,423504,2858,423500,1077.5,1077.0,9583,9,10,785803,4720436,,EBRO
9865,BASERCA,1,"LOS DATOS DE 2001-02 A 2010-11, 2012-13  Y 2015-16 ESTAN PENDIENTES DE REVISION                                         ",22157,180,316212,4716639,808630,4721066,4538,423446,4534,423442,1436.5,1434.5,9510,36,36,808522,4720854,E065,EBRO
9866,LLAUSET,1,LOS DATOS DE 2006-07 A 2010-11 Y 2012-13 ESTAN PENDIENTES DE REVISION                                                   ,22157,180,1295973,4760297,803305,4721120,4145,423456,4141,423452,2190.0,2192.0,9511,28,28,803197,4720909,,EBRO
9867,SALLENTE,1,,25227,181,335408,4707430,828446,4713232,5949,423004,5945,422960,1765.0,1765.0,9483,8,9,828338,4713021,,EBRO
9868,CIURANA,1,"LOS DATOS DE 2001-02 A 2008-09, 2010-11, 2012-13 Y 2015-16 SON PROVISIONALES SUJETOS A REVISION                         ",43049,445,1331256,4614353,828042,4574070,5453,411503,5449,411459,0.0,485.9,9651,51,51,827933,4573860,,EBRO
9869,CERTESCANS,1,INT 2008. LOS DATOS DE 2006-07 Y 2007-08 SON PROVISIONALES SUJETOS A REVISION                                           ,25123,150,1344571,4780054,852847,4737240,11829,424221,11824,424217,2234.5,2191.5,9947,8,9,852739,4737029,,EBRO
9871,VAL,1,LOS DATOS DE 2002-03 SON PROVISIONALES SUJETOS A REVISION                                                               ,50106,320,600873,4636975,600873,4636975,-14704,415239,-14708,415235,627.3,620.0,9243,19,19,600765,4636766,E071,EBRO
9873,IP,1,,22078,145,707763,4733453,707763,4733453,-2745,424329,-2749,424325,2115.0,2115.0,9993,8,9,707656,4733243,,EBRO
