indroea,lugar,comentario,serv,suprest,suprcnc,hoja_id,alti,altimax,naa,naam,naai,num_cuenca,muni_id,xutm,yutm,xutm30,yutm30,long,lat,longwgs84,latwgs84,observ1,xetrs89,yetrs89,cod_saih,cuenca,caudal,ini_cal,fin_cal,sel,geometry
2055,SAN RAFAEL,,1,173,695,507,1045.0000,2193.0000,19,19,7,2222,40223,395260,4514523,395260,4514523,-4.1428,40.4628,-4.1433,40.4623,,395151,4514316,,DUERO,1,2012,2020,1,POINT (-4.242430679360729 40.773136268317934)
2056,VALDESTILLAS,,1,5202,5275,400,693.0000,2297.0000,93,103,55,2230,47182,352357,4594918,352357,4594918,-4.4607,41.2930,-4.4612,41.2925,,352248,4594711,,DUERO,1,2012,2020,1,POINT (-4.769978095550956 41.490403389715226)
2057,VILLOVELA DE PIRON,,1,172,1020,457,869.0000,2200.0000,49,49,32,2113,40075,405705,4552136,405705,4552136,-4.0723,41.0652,-4.0728,41.0647,,405596,4551929,,DUERO,1,2012,2020,1,POINT (-4.124415880979374 41.11316750845727)
2060,CEBRONES DEL RIO,,1,3192,5039,231,754.0000,2417.0000,49,49,31,2303,24053,266703,4681447,266703,4681447,-5.4940,42.1459,-5.4945,42.1454,,266593,4681240,,DUERO,1,2012,2020,1,POINT (-5.829246537222397 42.248466277565065)
2061,SANTA MARINA DEL REY,,1,1554,5039,160,835.0000,2417.0000,27,27,14,2291,24159,263627,4710140,263627,4710140,-5.5237,42.3024,-5.5242,42.3020,,263517,4709934,,DUERO,1,2012,2020,1,POINT (-5.87825922521961 42.505635833231224)
2062,TORO-DUERO,,1,41808,97620,370,637.0000,2315.0000,98,108,36,2247,49219,298767,4598960,298767,4598960,-5.2441,41.3059,-5.2446,41.3054,,298658,4598753,,DUERO,1,2012,2020,1,POINT (-5.412830229026607 41.51511372158074)
2074,CASTROPEPE,,1,6783,16081,308,703.0000,2408.0000,93,103,43,2284,49257,281660,4650491,281660,4650491,-5.3807,41.5832,-5.3812,41.5827,,281551,4650284,,DUERO,1,2012,2020,1,POINT (-5.636550634902595 41.97428642723396)
2081,PUENTE CONGOSTO,,1,1620,7257,528,913.0000,,24,24,12,2330,37261,285733,4486903,285733,4486903,-5.3143,40.3016,-5.3148,40.3012,CURVA DE GASTO 2006-07 PROVISIONAL,285624,4486696,,DUERO,1,2012,2020,1,POINT (-5.529985997487489 40.50329821753258)
2082,MORALES DEL REY,,1,650,657,270,724.0000,2188.0000,79,87,44,2308,49128,271646,4660092,271646,4660092,-5.4535,42.0332,-5.4540,42.0328,,271536,4659885,,DUERO,1,2012,2020,1,POINT (-5.761029578695336 42.05782028806892)
2089,MORLA DE LA VALDERIA,,1,280,657,230,965.0000,2188.0000,79,79,33,2308,24047,726887,4678357,231680,4679817,-6.1504,42.1325,-6.1509,42.1321,,231570,4679610,,DUERO,1,2012,2020,1,POINT (-6.252405009173331 42.22255931185595)
2095,BRETO,INT 2009,0,14263,16081,308,691.0000,2408.0000,71,72,0,2318,49025,270614,4639496,270614,4639496,-5.4551,41.5224,-5.4556,41.5220,,270504,4639289,,DUERO,1,2001,2009,1,POINT (-5.765456878108503 41.87223432446599)
2098,VILLAMANIN,,1,132,1174,103,1125.0000,,24,24,12,2273,24901,283253,4757225,283253,4757225,-5.3923,42.5610,-5.3928,42.5606,,283144,4757020,,DUERO,1,2012,2020,1,POINT (-5.657665687774341 42.93496516748679)
