indroea,lugar,comentario,serv,suprest,suprcnc,hoja_id,alti,altimax,naa,naam,naai,num_cuenca,muni_id,xutm,yutm,xutm30,yutm30,long,lat,longwgs84,latwgs84,observ1,xetrs89,yetrs89,cod_saih
7168,"PLIEGO, RIO EN MULA",,1,257,276,912,280.0,,5,4,0,7050,30029,631966,4209109,631966,4209109,-12948,380110,-12952,380106,,631855,4208901,01O02A1
7169,"MULA, RIO",,1,596,647,912,178.0,,5,4,0,7053,30004,643656,4210638,643656,4210638,-12148,380153,-12152,380149,,643545,4210430,01O03A1
7170,"MUNDO, RIO EN LIETOR",,1,576,2395,842,538.0,,5,4,0,7031,2044,590375,4266695,590375,4266695,-15747,383236,-15751,383232,,590264,4266487,03A05A1
7171,TAIBILLA (AGUAS BAJAS),,1,594,596,867,523.0,,5,4,0,7021,2042,573556,4249841,573556,4249841,-20928,382335,-20932,382331,,573445,4249634,04A01A2
7172,TAIBILLA (CRECIDAS),,1,594,596,867,523.0,,5,4,0,7021,2042,573556,4249841,573556,4249841,-20928,382335,-20932,382331,,573445,4249634,04A01A3
7173,"NORIAS, LAS",,1,13311,14936,913,28.0,,5,4,0,7069,3099,675530,4213916,675530,4213916,-5958,380319,-5958,380319,,675419,4213708,07A05A1
7174,ORIHUELA,,1,13612,14936,913,33.0,,5,4,0,7069,3099,678097,4216458,678097,4216458,-5810,380440,-5815,380435,,677986,4216250,07C03A2
7175,MANZANO Y FERRER,,1,14088,14936,913,22.0,,5,4,0,7069,3099,684332,4217489,684332,4217489,-5354,380509,-5358,380504,,684221,4217281,07R03A1
7176,FORMENTERA,,1,14264,14936,914,12.0,,5,5,0,7071,3034,698006,4217659,698006,4217659,-4433,380504,-4437,380460,LOS DATOS DE 2016-17 SON PROVISIONALES PENDIENTES DE REVISION                                       ,697895,4217451,07R05A1
7177,TINAJON,,1,130,161,912,,,4,4,0,7047,30040,651302,4223093,651302,4223093,-11625,380833,-11629,380828,,651191,4222885,02O03A1
7178,CALASPARRA,INT 2018                                                              ,0,5647,14936,890,,,2,2,0,7036,30013,613775,4234619,613775,4234619,-14159,381506,-14204,381502,,613664,4234412,03A03A2
7183,SALABOSQUE,,1,3360,3390,934,,,4,4,0,7066,30030,663134,4201837,663134,4201837,-10836,375656,-10841,375651,,663023,4201629,05A01A1
7628,AZUD DE LOS HUERTOS,OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,13639,14936,913,25.0,,26,25,3,7069,3099,678020,4216326,678020,4216326,-5814,380436,-5817,380431,,677909,4216118,07C03A1
7821,MURCIA (AZUD MALECON),OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,9578,14936,934,45.0,,13,13,0,7054,30030,663695,4205370,663695,4205370,-10810,375850,-10815,375846,,663584,4205162,01A03A1
7850,AZUD DE LIETOR,OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,581,2395,842,530.0,,13,12,0,7031,2044,591930,4265921,591930,4265921,-15643,383211,-15647,383206,LOS DATOS DE 2011-12 Y 2013-14 SON PROVISIONALES PENDIENTES DE REVISION                             ,591819,4265713,03R03A1
7863,CONTRAPARADA (PRESA),OBTENCION DE DATOS DIARIOS SEGUN DIA HIDROLOGICO (8 A 8)              ,1,9528,14936,933,55.0,,13,13,0,7054,30030,656570,4207015,656570,4207015,-11301,375948,-11305,375944,LOS DATOS DE 2015-16 SON PROVISIONALES PENDIENTES DE REVISION                                       ,656459,4206807,01R01A2
7905,TALAVE (EMBALSE),INT 1928                                                              ,0,753,2395,842,550.0,,3,3,0,7031,2044,599231,4263204,599000,4263000,-15143,383040,-15147,383036,,598890,4262793,
7919,"CIERVA, LA (CAÑON)",SIN DATOS                                                             ,0,172,647,912,297.0,,0,0,0,7049,30029,632800,4213730,632800,4213730,-12911,380339,-12915,380335,,632689,4213522,
