gauge_id,pr_emo1_01,pr_emo1_02,pr_emo1_03,pr_emo1_04,pr_emo1_05,pr_emo1_06,pr_emo1_07,pr_emo1_08,pr_emo1_09,pr_emo1_10,pr_emo1_11,pr_emo1_12,pr_emo1_year,ta_emo1_01,ta_emo1_02,ta_emo1_03,ta_emo1_04,ta_emo1_05,ta_emo1_06,ta_emo1_07,ta_emo1_08,ta_emo1_09,ta_emo1_10,ta_emo1_11,ta_emo1_12,ta_emo1_year,e0_emo1_01,e0_emo1_02,e0_emo1_03,e0_emo1_04,e0_emo1_05,e0_emo1_06,e0_emo1_07,e0_emo1_08,e0_emo1_09,e0_emo1_10,e0_emo1_11,e0_emo1_12,e0_emo1_year,dis_efas5_yrmean,dis_efas5_yrmax,dis_efas5_yrmin
2043,1.5569410456062291,1.1999634146341465,1.3204560622914348,1.812505747126437,1.7588542825361513,1.298551724137931,0.823058954393771,0.6774860956618466,1.0533831990794014,2.1144493882091213,2.035931034482759,1.795650723025584,1.4548149546827793,3.1417575083426024,4.111048780487804,6.728264738598444,8.723781609195402,12.219599555061178,16.36512643678161,19.06044493882091,19.11399332591769,15.634234752589183,11.582302558398219,6.502908045977012,3.8456729699666297,10.62020675981873,0.3281868743047831,0.7026829268292684,1.7785539488320357,2.8107816091954025,3.9617018909899886,5.337655172413793,6.112258064516129,5.219232480533927,3.178388952819332,1.336373748609566,0.4468965517241379,0.2993214682981091,2.6368192975830813,0.3116607617320948,2.134333333333333,0.03100000000000002
2015,1.5142825361512793,1.1351219512195123,1.2300111234705229,1.7205862068965516,1.870956618464961,1.3075632183908046,0.7811902113459399,0.70146829810901,1.0023475258918297,1.8274416017797552,1.7816436781609193,1.4675305895439377,1.3624018126888218,3.427363737486096,4.349317073170732,7.010244716351502,9.119793103448275,12.75515016685206,17.24419540229885,20.176340378197995,20.130166852057837,16.168227848101264,11.8846829810901,6.765241379310345,4.170489432703003,11.136565332326285,0.429888765294772,0.8357073170731707,1.914349276974416,2.9379999999999997,4.032647385984427,5.405850574712644,6.185962180200223,5.3055506117908795,3.216352128883775,1.422269187986652,0.5618505747126437,0.40341490545050057,2.731611593655589,0.13747383204381697,0.6473333333333333,0.02866666666666668
2132,1.5175528364849835,1.1500121951219513,1.2416685205784204,1.7301494252873564,1.8896774193548387,1.3222298850574714,0.7894994438264739,0.7083982202447163,1.0085730724971231,1.8262847608453836,1.7886666666666668,1.4685873192436036,1.370773225075529,3.40238042269188,4.29890243902439,6.954115684093437,9.062471264367817,12.695895439377086,17.18428735632184,20.12123470522803,20.080333704115684,16.11109321058688,11.834660734149056,6.725724137931034,4.147208008898777,11.088057968277944,0.4344493882091212,0.8384268292682927,1.9131368186874305,2.9317356321839076,4.019844271412681,5.384977011494253,6.163982202447164,5.288086763070077,3.20566168009206,1.4199443826473863,0.5657011494252874,0.40799777530589537,2.725073640483384,0.14352396509972815,0.6746666666666667,0.03133333333333335
9120,1.8612235817575085,1.7221707317073172,1.6557619577308123,1.8632068965517241,1.8195216907675196,1.5688505747126438,0.9744716351501668,0.807964404894327,1.2425316455696203,1.8385094549499446,2.5011034482758623,1.9031813125695218,1.6444014350453173,3.9934927697441602,4.542914634146341,6.940333704115685,8.909620689655174,12.228909899888766,15.911885057471265,18.332235817575082,18.67551724137931,15.585086306098965,12.042046718576195,7.134793103448277,4.602169076751946,10.774832892749245,0.3285650723025584,0.5997926829268293,1.4881312569521692,2.4002413793103448,3.392714126807564,4.384390804597701,4.817230255839822,4.1380978865406,2.538055235903337,1.1187208008898777,0.4000574712643678,0.291301446051168,2.1667097809667673,0.5393388844896297,4.3066666666666675,0.07700000000000003
3175,1.4388987764182424,1.2206829268292683,1.284004449388209,1.7322988505747126,1.711690767519466,0.9254137931034483,0.42507230255839823,0.4364627363737486,0.913843498273878,2.1279421579532816,1.9397241379310344,1.5288431590656286,1.3069797960725074,4.366195773081201,5.374585365853658,8.193626251390434,10.433172413793104,14.365428253615129,19.43121839080459,22.729666295884318,22.483170189099003,18.060724971231302,13.230600667408233,7.7331724137931035,5.073136818687431,12.662293240181267,0.4558954393770856,0.9070121951219512,2.047508342602892,3.1704252873563217,4.401490545050056,6.034770114942528,6.911535038932146,5.934705228031145,3.601116225546605,1.5995550611790879,0.5953563218390805,0.4131256952169077,3.0178691465256797,0.1963992772956807,1.305,0.07633333333333335
3174,1.5678754171301446,1.314060975609756,1.3650278086763068,1.7926666666666666,1.779377085650723,0.9533678160919541,0.4329143492769744,0.45300333704115686,0.934602991944764,2.221857619577308,2.0825057471264365,1.6432703003337041,1.3782156344410874,4.318843159065628,5.284036585365853,8.077641824249165,10.281528735632184,14.198943270300335,19.26958620689655,22.579899888765294,22.345962180200225,17.948837744533947,13.121090100111235,7.6484367816091945,5.051579532814238,12.54993674471299,0.47061179087875415,0.9065000000000001,2.031234705228031,3.1420459770114944,4.360901001112347,5.984505747126437,6.849010011123471,5.882513904338154,3.5709666283084007,1.5887430478309232,0.6054597701149426,0.43323692992213575,2.99720166163142,0.252688656581004,1.672,0.10133333333333334
2013,1.3808231368186874,1.0990243902439025,1.2286095661846497,1.7383333333333333,1.9072080088987764,1.385758620689655,0.880678531701891,0.7711012235817576,1.034119677790564,1.7834037819799777,1.668103448275862,1.3668520578420467,1.3544703549848944,3.283058954393771,4.105073170731707,6.728520578420468,8.83664367816092,12.46516129032258,16.89685057471264,19.8040489432703,19.815105672969967,15.845868814729574,11.638186874304782,6.5744367816091955,3.987853170189099,10.868215634441087,0.4302002224694105,0.8352317073170732,1.8810011123470523,2.8852873563218395,3.946596218020022,5.241988505747127,6.029855394883204,5.184694104560623,3.1427502876869964,1.3949610678531703,0.5581379310344828,0.3959844271412681,2.6708789652567977,0.18490219794604043,0.9313333333333332,0.03866666666666669
3052,1.596140155728587,1.3056585365853657,1.3692324805339264,1.8103448275862069,1.8069632925472747,0.9933333333333335,0.459432703003337,0.46359288097886536,0.9504142692750287,2.1791657397107898,2.0864827586206895,1.6322469410456062,1.387611404833837,3.997452725250278,4.910365853658536,7.680945494994439,9.85332183908046,13.732080088987763,18.743471264367816,22.016562847608455,21.801012235817577,17.454959723820483,12.716395995550613,7.281333333333333,4.747363737486096,12.117142182779455,0.4535261401557286,0.8802439024390243,1.9919688542825362,3.083390804597701,4.275105672969966,5.879482758620689,6.744994438264738,5.799499443826474,3.5191829689298046,1.5555728587319244,0.5854367816091954,0.4219021134593993,2.9441153700906346,0.26315558061442607,1.4383333333333332,0.1066666666666667
2074,1.98944382647386,1.5097073170731707,1.5474416017797554,1.9534022988505748,1.9418353726362625,1.3017931034482761,0.7466518353726362,0.8027586206896552,1.2328653624856158,2.4397107897664068,2.2946436781609196,2.159666295884316,1.6607637839879152,2.8571746384872085,4.044499999999999,6.550389321468297,8.444206896551725,11.81222469410456,15.900264367816094,18.320133481646273,18.283170189099,15.163475258918297,11.172992213570634,6.2779885057471265,3.6627141268075643,10.239364614803625,0.31640711902113466,0.6818292682926829,1.7229588431590654,2.78580459770115,3.867352614015573,5.101298850574713,5.672347052280312,4.784493882091213,2.987583429228999,1.2264182424916574,0.42951724137931035,0.3044382647385984,2.4997970166163146,0.6830270792850234,4.046333333333333,0.16866666666666671
2017,1.372135706340378,1.1085853658536584,1.241179087875417,1.7593793103448274,1.9104004449388208,1.4125977011494253,0.8918798665183537,0.7855506117908788,1.0425316455696203,1.8078086763070078,1.6697471264367814,1.368754171301446,1.3649792296072507,3.2525806451612906,4.048585365853659,6.66250278086763,8.756275862068966,12.391201334816461,16.810770114942528,19.71946607341491,19.764460511679644,15.789470655926351,11.592169076751947,6.523505747126437,3.9507675194660736,10.808361971299094,0.42253615127919913,0.8204268292682927,1.84908787541713,2.844080459770115,3.89888765294772,5.169919540229886,5.950444938820912,5.121968854282536,3.0955696202531646,1.3727919911012234,0.5470459770114943,0.3881535038932147,2.633628209969789,0.2058631708873143,1.0566666666666666,0.055333333333333366
