ref_ceh;nom_embalse;serv;comentario;muni_id;hoja_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;mna;mnne;num_cuenca;nae;naem;xetrs89;yetrs89;cod_saih
9862;OLIANA;1;LOS DATOS DE 2004-05 SON PROVISIONALES SUJETOS A REVISION. EL 01/10/2011 CAMBIO DEL VOLUMEN DE EMBALSE                  ;25149;291;359010;4661628;855248;4669157;11743;420536;11738;420532;;518.3;9447;63;63;855140;4668946;E062
9863;CAVALLERS;1;LOS DATOS DE 2001-02 A 2005-06, 2007-08, 2009-10 Y 2012-13 SON PROVISIONALES SUJETOS A REVISION                         ;25043;181;324021;4717183;816386;4722163;5120;423510;5115;423507;1783;1781;9515;59;59;816278;4721952;E063
9864;LINSOLES;0;INT 1993                                                                                                                ;22200;180;293534;4717830;785910;4720647;2902;423504;2858;423500;1077.5;1077;9583;9;10;785803;4720436;
9865;BASERCA;1;LOS DATOS DE 2001-02 A 2010-11, 2012-13  Y 2015-16 ESTAN PENDIENTES DE REVISION                                         ;22157;180;316212;4716639;808630;4721066;4538;423446;4534;423442;1436.5;1434.5;9510;36;36;808522;4720854;E065
9866;LLAUSET;1;LOS DATOS DE 2006-07 A 2010-11 Y 2012-13 ESTAN PENDIENTES DE REVISION                                                   ;22157;180;1295973;4760297;803305;4721120;4145;423456;4141;423452;2190;2192;9511;28;28;803197;4720909;
9867;SALLENTE;1;;25227;181;335408;4707430;828446;4713232;5949;423004;5945;422960;1765;1765;9483;8;9;828338;4713021;
9868;CIURANA;1;LOS DATOS DE 2001-02 A 2008-09, 2010-11, 2012-13 Y 2015-16 SON PROVISIONALES SUJETOS A REVISION                         ;43049;445;1331256;4614353;828042;4574070;5453;411503;5449;411459;0;485.9;9651;51;51;827933;4573860;
9869;CERTESCANS;1;INT 2008. LOS DATOS DE 2006-07 Y 2007-08 SON PROVISIONALES SUJETOS A REVISION                                           ;25123;150;1344571;4780054;852847;4737240;11829;424221;11824;424217;2234.5;2191.5;9947;8;9;852739;4737029;
9871;VAL;1;LOS DATOS DE 2002-03 SON PROVISIONALES SUJETOS A REVISION                                                               ;50106;320;600873;4636975;600873;4636975;-14704;415239;-14708;415235;627.3;620;9243;19;19;600765;4636766;E071
9873;IP;1;;22078;145;707763;4733453;707763;4733453;-2745;424329;-2749;424325;2115;2115;9993;8;9;707656;4733243;
