indroea,lugar,comentario,serv,suprest,suprcnc,hoja_id,alti,altimax,naa,naam,naai,num_cuenca,muni_id,xutm,yutm,xutm30,yutm30,long,lat,longwgs84,latwgs84,observ1,xetrs89,yetrs89,cod_saih
9086,GARINOAIN,,1,76,456,173,494,990.0,74,81,13,9207,31114,610830,4717489,610830,4717489,-13857,423604,-13901,423560,DATOS MODIFICADOS DE 2010-11 A 2014-15 (ANUARIO 15-16)                                              ,610723,4717280,A086
9091,LASCELLAS,,1,501,3385,287,390,2077.0,74,74,50,9615,22027,739160,4663736,739160,4663736,-630,420519,-635,420515,,739052,4663526,A091
9093,OÑA,,1,1051,1093,136,570,1176.0,62,62,17,9026,9238,466222,4731713,466222,4731713,-32445,424411,-32450,424407,"LOS DATOS DE 2005-06, 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                    ",466115,4731506,A093
9095,BARBASTRO,,1,345,372,287,320,1441.0,72,72,9,9599,22048,759376,4657956,759376,4657956,759,420149,754,420145,"LOS DATOS DE 2007-08, 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                    ",759268,4657746,A095
9111,ORGAÑA,,1,2384,22579,253,542,2921.0,72,71,46,9441,25908,858548,4684601,858548,4684601,12040,421350,12035,421346,LOS DATOS DE 2005-06 Y DE 2008-09 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                ,858440,4684390,A111
9120,MENDAVIA,,1,12010,85001,204,325,2262.0,73,73,52,9143,31165,565478,4696449,565478,4696449,-21215,422501,-21220,422457,LOS DATOS DE 2008-09 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,565371,4696240,A120
9123,ANZANIGO,,1,1391,4009,209,580,3151.0,72,72,56,9316,22072,693373,4697534,693373,4697534,-3901,422419,-3906,422415,LOS DATOS DE 2008-09 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,693266,4697324,A123
9127,ALCAINE,,1,594,2111,493,585,1577.0,59,59,38,9350,44011,693538,4536484,693538,4536484,-4202,405721,-4206,405717,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,693429,4536275,A127
9129,TRANQUERA - C.E.,,1,87,88,437,695,1311.0,49,49,32,9266,50192,602517,4562678,602517,4562678,-14638,411230,-14643,411226,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,602408,4562469,A129
9148,COLL DE NARGO,,1,69,70,291,530,1745.0,65,65,36,9446,25077,359738,4669703,855407,4677273,11807,420958,11803,420954,"LOS DATOS DE 2004-05, 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                    ",855299,4677062,A148
9150,ESTENOZ,,1,28,185,140,480,1009.0,64,64,43,9228,31120,588006,4733522,588006,4733522,-15529,424454,-15534,424450,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,587899,4733313,A150
9152,EUGUI,,1,69,2759,116,582,1459.0,57,57,44,9211,31098,621220,4758782,621220,4758783,-13049,425817,-13053,425813,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,621114,4758573,A152
9153,HORTA DE SAN JUAN,,1,115,407,496,418,1226.0,57,57,32,9646,43071,270606,4535756,775729,4537347,1631,405624,1626,405620,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,775620,4537137,A153
9155,BIOTA,CORRECCIÓN POR POZO SUCIO (DATOS 2013-14)                             ,1,144,2249,245,476,1517.0,53,53,39,9248,50051,649247,4680503,649247,4680503,-11126,421542,-11131,421538,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,649139,4680293,A155
9158,SAN MIGUEL DE PEDROSO,,1,192,1243,201,810,2085.0,52,52,26,9082,9048,482556,4692903,482556,4692903,-31243,422315,-31248,422311,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,482449,4692695,A158
9165,MIRANDA DE EBRO,,1,318,319,137,460,,45,45,16,9056,9219,506002,4726492,506002,4726492,-25536,424124,-25541,424120,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,505895,4726284,A165
9177,BATEA,,1,335,407,470,219,1326.0,47,47,32,9646,43022,265779,4554523,769622,4555743,1239,410627,1234,410623,DATOS MODIFICADOS 2002-03 A 2012-13 (ANUARIO 13-14)                                                 ,769513,4555533,A177
9185,CINTRUENIGO,,1,1120,1153,282,379,,45,45,26,9240,31072,598378,4659542,598378,4659542,-14838,420452,-14843,420448,"LOS DATOS DE 2005-06, 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                    ",598270,4659333,A185
9186,SADABA,,1,197,582,245,427,,45,45,31,9253,50230,642664,4682548,642664,4682548,-11611,421653,-11616,421649,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,642556,4682339,A186
9187,ERLA,,1,336,586,284,424,,43,43,28,9251,50100,669904,4664930,669904,4664930,-5641,420702,-5646,420658,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,669796,4664720,A187
9188,BERGUENDA,,1,350,351,137,483,,41,41,22,9048,1902,496451,4736999,496451,4736999,-30236,424705,-30241,424701,"LOS DATOS DE 2005-06, 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                    ",496344,4736791,A188
9189,ORON,,1,217,237,137,480,,45,45,18,9052,9219,501793,4724450,501793,4724450,-25841,424018,-25846,424014,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,501686,4724242,A189
9190,QUICENA,,1,160,2873,286,466,,42,42,25,9620,22195,719367,4669354,719367,4669354,-2043,420841,-2048,420838,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,719259,4669144,A190
9191,BARBUES,,1,534,2873,324,336,,43,42,22,9622,22049,713557,4651230,713557,4651230,-2520,415900,-2525,415856,LOS DATOS DE 2008-09 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,713449,4651020,A191
9197,LEZA DE RIO LEZA,,1,283,534,242,517,,45,45,18,9140,26088,548900,4686832,548900,4686832,-22423,421953,-22428,421949,DATOS MODIFICADOS DE 1976 A 1980 DESDE 2011-12.DATOS DE 08-09 A 10-11 PENDIENTES DE REVISION        ,548792,4686624,A197
9221,LARRINOA,,1,22,90,112,585,,43,43,27,9069,1018,521968,4757764,521968,4757764,-24350,425817,-24355,425813,LOS DATOS DE 2008-09 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,521862,4757556,A221
